<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.02	19:00:00	2501.50	2501.79	2498.61	2500.46	1996	0	28
2024.09.02	20:00:00	2500.46	2501.23	2498.75	2499.44	1801	0	28
2024.09.02	21:00:00	2499.43	2500.05	2498.76	2498.76	1077	0	28
2024.09.03	01:00:00	2499.39	2499.79	2497.46	2497.67	945	0	28
2024.09.03	02:00:00	2497.73	2498.39	2496.35	2497.10	1608	0	28
2024.09.03	03:00:00	2497.15	2497.61	2494.91	2495.72	3755	0	28
2024.09.03	04:00:00	2495.71	2495.78	2489.74	2493.65	8517	0	28
2024.09.03	05:00:00	2493.65	2496.30	2492.35	2495.22	6691	0	28
2024.09.03	06:00:00	2495.20	2495.74	2493.01	2494.70	4995	0	28
2024.09.03	07:00:00	2494.70	2496.87	2493.85	2495.85	3198	0	28
2024.09.03	08:00:00	2495.86	2495.86	2492.66	2494.92	4937	0	28
2024.09.03	09:00:00	2494.91	2498.79	2492.73	2497.82	8123	0	28
2024.09.03	10:00:00	2497.82	2501.95	2496.55	2500.82	7583	0	28
2024.09.03	11:00:00	2500.80	2506.18	2500.52	2503.87	8009	0	28
2024.09.03	12:00:00	2503.90	2504.89	2500.81	2500.84	6492	0	28
2024.09.03	13:00:00	2500.86	2500.97	2492.62	2497.24	8140	0	28
2024.09.03	14:00:00	2497.20	2501.49	2484.69	2489.61	9474	0	28
2024.09.03	15:00:00	2489.59	2501.94	2487.08	2493.20	13912	0	28
2024.09.03	16:00:00	2493.19	2497.54	2475.48	2480.25	18119	0	28
2024.09.03	17:00:00	2480.14	2485.54	2473.41	2478.24	18913	0	28
2024.09.03	18:00:00	2478.26	2489.44	2477.14	2488.28	11210	0	28
2024.09.03	19:00:00	2488.28	2488.87	2483.86	2486.00	7085	0	28
2024.09.03	20:00:00	2485.94	2491.96	2485.43	2489.38	6115	0	28
2024.09.03	21:00:00	2489.39	2489.91	2486.97	2489.26	4033	0	28
2024.09.03	22:00:00	2489.25	2494.27	2488.87	2491.94	4671	0	28
2024.09.03	23:00:00	2491.95	2492.94	2491.26	2492.53	2074	0	28
2024.09.04	01:00:00	2492.77	2494.33	2491.98	2493.00	1577	0	28
2024.09.04	02:00:00	2493.01	2494.59	2492.21	2493.22	1785	0	28
2024.09.04	03:00:00	2493.17	2494.91	2492.10	2492.25	4806	0	28
2024.09.04	04:00:00	2492.25	2494.40	2491.23	2493.33	7024	0	28
2024.09.04	05:00:00	2493.33	2496.78	2492.27	2495.20	4999	0	28
2024.09.04	06:00:00	2495.20	2496.45	2493.47	2494.97	3010	0	28
2024.09.04	07:00:00	2494.99	2496.63	2494.41	2495.82	2202	0	28
2024.09.04	08:00:00	2495.83	2496.49	2492.70	2493.06	4301	0	28
2024.09.04	09:00:00	2493.07	2493.34	2483.63	2484.20	9238	0	28
2024.09.04	10:00:00	2484.19	2488.20	2481.99	2482.13	8029	0	28
2024.09.04	11:00:00	2482.12	2483.26	2472.45	2473.19	9014	0	28
2024.09.04	12:00:00	2473.23	2483.19	2471.81	2481.59	8962	0	28
2024.09.04	13:00:00	2481.58	2489.87	2481.04	2488.93	7551	0	28
2024.09.04	14:00:00	2488.93	2491.13	2486.62	2489.14	7637	0	28
2024.09.04	15:00:00	2489.14	2491.01	2485.43	2486.46	10071	0	28
2024.09.04	16:00:00	2486.46	2489.95	2482.03	2485.57	12842	0	28
2024.09.04	17:00:00	2485.67	2500.13	2485.00	2496.15	18946	0	28
2024.09.04	18:00:00	2496.16	2498.28	2492.73	2493.98	10192	0	28
2024.09.04	19:00:00	2493.98	2497.83	2493.06	2496.69	5655	0	28
2024.09.04	20:00:00	2496.61	2497.27	2493.42	2493.93	5175	0	28
2024.09.04	21:00:00	2493.95	2495.48	2492.43	2494.62	4303	0	28
2024.09.04	22:00:00	2494.62	2494.72	2491.43	2493.31	4719	0	28
2024.09.04	23:00:00	2493.31	2496.78	2492.89	2494.81	1987	0	28
2024.09.05	01:00:00	2495.23	2495.61	2494.43	2495.28	962	0	28
2024.09.05	02:00:00	2495.29	2496.84	2495.03	2495.77	1720	0	28
2024.09.05	03:00:00	2495.80	2496.45	2494.39	2495.13	3121	0	28
2024.09.05	04:00:00	2495.14	2499.21	2494.42	2496.35	7292	0	28
2024.09.05	05:00:00	2496.35	2498.87	2496.17	2498.00	4270	0	28
2024.09.05	06:00:00	2498.00	2498.51	2494.55	2494.78	4142	0	28
2024.09.05	07:00:00	2494.74	2495.00	2493.75	2494.20	2532	0	28
2024.09.05	08:00:00	2494.20	2502.24	2493.91	2501.89	5212	0	28
2024.09.05	09:00:00	2501.91	2506.85	2500.81	2504.33	10128	0	28
2024.09.05	10:00:00	2504.33	2507.47	2502.91	2506.32	7301	0	28
2024.09.05	11:00:00	2506.34	2516.57	2505.92	2514.61	9938	0	28
2024.09.05	12:00:00	2514.63	2517.20	2514.63	2515.44	6957	0	28
2024.09.05	13:00:00	2515.44	2516.87	2513.26	2516.24	5976	0	28
2024.09.05	14:00:00	2516.22	2518.29	2513.60	2515.10	7389	0	28
2024.09.05	15:00:00	2515.17	2523.27	2514.01	2517.70	14769	0	28
2024.09.05	16:00:00	2517.75	2519.27	2512.41	2514.91	15336	0	28
